Entity,Code,Year,"Gas (TWh, direct energy)","Oil (TWh, direct energy)","Coal (TWh, direct energy)"
World,OWID_WRL,1800,0,0,97
World,OWID_WRL,1810,0,0,128
World,OWID_WRL,1820,0,0,153
World,OWID_WRL,1830,0,0,264
World,OWID_WRL,1840,0,0,356
World,OWID_WRL,1850,0,0,569
World,OWID_WRL,1860,0,0,1061
World,OWID_WRL,1870,0,6,1642
World,OWID_WRL,1880,0,33,2542
World,OWID_WRL,1890,33,89,3856
World,OWID_WRL,1900,64,181,5728
World,OWID_WRL,1910,142,397,8656
World,OWID_WRL,1920,233,889,9833
World,OWID_WRL,1930,603,1756,10125
World,OWID_WRL,1940,875,2653,11586
World,OWID_WRL,1950,2092,5444,12603
World,OWID_WRL,1960,4472,11097,15442
World,OWID_WRL,1965,6303.799,17989.604,16140.179
World,OWID_WRL,1966,6868.7944,19341.146,16324.094
World,OWID_WRL,1967,7374.0396,20732.137,16060.81
World,OWID_WRL,1968,8044.3315,22488.332,16301.146
World,OWID_WRL,1969,8833.418,24353,16798.736
World,OWID_WRL,1970,9614.792,26505.184,17058.607
World,OWID_WRL,1971,10293.2,27994.797,16965.777
World,OWID_WRL,1972,10861.724,30112.264,17158.637
World,OWID_WRL,1973,11377.838,32534.807,17667.85
World,OWID_WRL,1974,11659.865,32078.18,17682.05
World,OWID_WRL,1975,11659.741,31715.77,18024.537
World,OWID_WRL,1976,12354.144,33752.465,18688.484
World,OWID_WRL,1977,12759.843,34928.137,19241.3
World,OWID_WRL,1978,13293.952,36509.918,19457.904
World,OWID_WRL,1979,14118.032,37064.566,20363.54
World,OWID_WRL,1980,14236.961,35514.42,20857.61
World,OWID_WRL,1981,14395.874,34251.57,21149.68
World,OWID_WRL,1982,14469.735,33185.27,21385.451
World,OWID_WRL,1983,14703.833,32937.605,22046.346
World,OWID_WRL,1984,15902.681,33680.055,23001.08
World,OWID_WRL,1985,16262.222,33660.1,23987.828
World,OWID_WRL,1986,16421.111,34700.836,24258.033
World,OWID_WRL,1987,17281.896,35393.543,25212.426
World,OWID_WRL,1988,18088.846,36552.59,25967.129
World,OWID_WRL,1989,18867.309,37156.836,26215.676
World,OWID_WRL,1990,19481.125,37608.02,25904.469
World,OWID_WRL,1991,19972.84,37610.64,25654.252
World,OWID_WRL,1992,20063.484,38151.848,25556.594
World,OWID_WRL,1993,20265.484,37960.613,25685.594
World,OWID_WRL,1994,20389.615,38793.508,25784.777
World,OWID_WRL,1995,21104.494,39442.176,25963.682
World,OWID_WRL,1996,22159.256,40314.297,26582.123
World,OWID_WRL,1997,22030.393,41413.246,26536.688
World,OWID_WRL,1998,22434,41644.414,26366.365
World,OWID_WRL,1999,23071.904,42370.094,26479.496
World,OWID_WRL,2000,23994.258,42880.926,27427.523
World,OWID_WRL,2001,24316.834,43255.684,27860.152
World,OWID_WRL,2002,25030.143,43608.863,28955.104
World,OWID_WRL,2003,25729.59,44580.65,31499.232
World,OWID_WRL,2004,26721.102,46270.656,33673.01
World,OWID_WRL,2005,27438.037,46672.656,36169.06
World,OWID_WRL,2006,28161.105,47172.61,38069.035
World,OWID_WRL,2007,29315.39,47758.875,40228.418
World,OWID_WRL,2008,30021.318,47338.688,40773.582
World,OWID_WRL,2009,29401.191,46371.566,40175.36
World,OWID_WRL,2010,31588.863,47895.074,41996.387
World,OWID_WRL,2011,32340.18,48307.656,44017.297
World,OWID_WRL,2012,33194.035,49010.707,44184.375
World,OWID_WRL,2013,33729.723,49520.156,44842.617
World,OWID_WRL,2014,33944.273,49832.44,45161.207
World,OWID_WRL,2015,34768.676,50796.26,44054.44
World,OWID_WRL,2016,35560.773,51760.777,43504.164
World,OWID_WRL,2017,36529.223,52515.543,43751.676
World,OWID_WRL,2018,38356.3,53250.62,44315.875
World,OWID_WRL,2019,39062.945,53368.63,43699.887
World,OWID_WRL,2020,38455.727,48380.71,41963.965
World,OWID_WRL,2021,40374.605,51170.473,44473.195