Name,GP,MIN,PTS,FG_PC,THREEP_Made,THREEP_PC,FTM,FT_PC,REB,AST,STL,BLK,TOV,TARGET_5Yrs
Brandon Ingram,36,27.4,7.4,34.7,0.5,25,1.6,69.9,4.1,1.9,0.4,0.4,1.3,0
Andrew Harrison,35,26.9,7.2,29.6,0.7,23.5,2.6,76.5,2.4,3.7,1.1,0.5,1.6,0
JaKarr Sampson,74,15.3,5.2,42.2,0.4,24.4,0.9,67,2.2,1,0.5,0.3,1,0
Malik Sealy,58,11.6,5.7,42.6,0.1,22.6,0.9,68.9,1.9,0.8,0.6,0.1,1,1
Matt Geiger,48,11.5,4.5,52.4,0,0,1.3,67.4,2.5,0.3,0.3,0.4,0.8,1
Tony Bennett,75,11.4,3.7,42.3,0.3,32.5,0.4,73.2,0.8,1.8,0.4,0,0.7,0
Don MacLean,62,10.9,6.6,43.5,0,50,1.5,81.1,2,0.6,0.2,0.1,0.7,1
Tracy Murray,48,10.3,5.7,41.5,0.4,30,0.7,87.5,1.7,0.2,0.2,0.1,0.7,1
Duane Cooper,65,9.9,2.4,39.2,0.1,23.3,0.4,71.4,0.8,2.3,0.3,0,1.1,0
Dave Johnson,42,8.5,3.7,38.3,0.1,21.4,1,67.8,1.1,0.3,0.2,0,0.7,0
Corey Williams,35,6.9,2.3,36.5,0,33.3,0.5,81.8,0.9,0.7,0.1,0.1,0.3,0
Sam Mack,40,6.7,3.6,39.8,0.1,13.6,1.1,77.6,1.2,0.4,0.3,0.1,0.6,1
Lorenzo Williams,27,6.6,1.3,47.2,0,0,0.1,28.6,2,0.2,0.2,0.6,0.3,1
P.J. Hairston,45,15.3,5.6,32.3,1.1,30.1,0.7,86.1,2,0.5,0.5,0.3,0.5,0
Elmore Spencer,44,6.4,2.4,53.7,0,0,0.4,50,1.4,0.2,0.2,0.4,0.6,1
John Crotty,40,6.1,2.6,51.4,0.1,14.3,0.7,68.4,0.4,1.4,0.3,0,0.8,1
Stephen Howard,49,5.3,2.1,37.6,0,0,0.7,64.2,1.2,0.2,0.3,0.2,0.5,0
Randy Woods,41,4.2,1.7,34.8,0.1,21.4,0.5,73.1,0.3,1,0.3,0,0.4,0
Larry Johnson,82,37.2,19.2,49,0.1,22.7,4.1,82.9,11,3.6,1,0.6,1.9,0
Larry Johnson,82,37.2,19.2,49,0.1,22.7,4.1,82.9,11,3.6,1,0.6,1.9,1
Billy Owens,80,31.4,14.3,52.5,0,11.1,2.6,65.4,8,2.4,1.1,0.8,2.2,1
Stacey Augmon,82,30.5,13.3,48.9,0,16.7,2.6,66.6,5.1,2.5,1.5,0.3,2.2,1
Mark Macon,76,30.3,10.6,37.5,0.1,13.3,1.8,73,2.9,2.2,2,0.2,2,1
Steven Smith,61,29.6,12,45.4,0.7,32,1.6,74.8,3.1,4.6,1,0.3,2.5,0
Mitch McGary,32,15.2,6.3,53.3,0,0,0.8,62.5,5.2,0.4,0.5,0.5,1,0
Larry Stewart,76,29.3,10.4,51.4,0,0,2.5,80.7,5.9,1.6,0.7,0.6,1.5,1
Mike Iuzzolino,52,24.6,9.3,45.1,1.1,43.4,2.1,83.6,1.9,3.7,0.6,0,1.8,0
Doug Smith,76,22.5,8.8,41.5,0,0,1.2,73.6,5.1,1.7,0.8,0.5,1.3,1
Paul Graham,78,22,10.1,44.7,0.7,39,1.6,74.1,3,2.2,1.2,0.3,1.2,0
Donald Hodge,51,20.7,8.4,49.7,0,0,2,66.7,5.4,0.8,0.5,0.5,1.5,1
Dale Davis,64,20.3,6.2,55.2,0,0,1.4,57.2,6.4,0.5,0.4,1.2,0.8,1
Stanley Roberts,55,20.3,10.4,52.9,0,0,1.8,51.5,6.1,0.7,0.4,1.5,1.4,1
Terrell Brandon,82,19.6,7.4,41.9,0,4.3,1.2,80.6,2,3.9,1,0.3,1.7,1
Bison Dele,48,18.9,9.1,52.8,0,0,2,66.9,5.7,0.7,0.8,1.1,1.8,1
Spencer Dinwiddie,34,13.4,4.3,30.2,0.4,18.5,0.9,91.2,1.4,3.1,0.6,0.2,1,0
Tracy Moore,42,18.6,8.5,40,0.7,35.7,1.5,83.3,2,1.1,0.8,0.1,1.1,1
Greg Anthony,82,18.4,5.5,37,0.1,14.5,1.4,74.1,1.7,3.8,0.7,0.1,1.2,1
Kenny Anderson,64,17,7,39,0,23.1,1.1,74.5,2,3.2,1.1,0.1,1.5,1
Victor Alexander,80,16.9,7.4,52.9,0,0,1.3,69.1,4.2,0.4,0.6,0.8,1.1,1
David Benoit,77,15.1,5.6,46.7,0,21.4,1.1,81,3.8,0.4,0.3,0.6,0.9,1
Kevin Lynch,55,14.9,4.1,41.7,0.1,37.5,0.6,76.1,1.5,1.5,0.7,0.2,0.8,0
LaBradford Smith,48,14.8,5.1,40.7,0,9.5,0.9,80.4,1.7,2.1,0.9,0,1.3,0
Chris Corchiani,51,14.5,5,39.9,0.2,27,1.8,87.5,1.5,2.8,0.9,0,1.4,0
Travis Wear,51,13.2,3.9,40.2,0.2,36.7,0.4,76.9,2.1,0.8,0.3,0.2,0.7,0
Robert Pack,72,12.4,4.6,42.3,0,0,1.4,80.3,1.3,1.9,0.6,0.1,1.3,1
Pete Chilcutt,69,11.8,3.6,45.2,0,100,0.3,82.1,2.7,0.6,0.5,0.3,0.6,1
Chris Gatling,54,11.3,5.7,56.8,0,0,1.3,66.1,3.4,0.3,0.6,0.7,0.8,1
Tharon Mayes,24,10.6,4.1,30.3,0.6,36.6,1,66.7,0.7,1.5,0.7,0.1,1.3,0
Eric Murdock,50,9.6,4.1,41.5,0.1,19.2,0.9,75.4,1.1,1.8,0.6,0.1,1,1
Randy Brown,56,9.6,3.4,45.6,0,0,0.7,65.5,1.2,1.1,0.6,0.2,0.8,1
Greg Sutton,67,9,3.7,38.8,0.4,29.2,0.5,75.6,0.7,1.4,0.4,0.1,1,0
Elliot Perry,50,8.7,2.5,38,0,14.3,0.5,65.9,0.8,1.6,0.7,0.1,1,1
Marty Conlon,45,8.5,2.7,47.5,0,0,0.5,75,1.5,0.3,0.2,0.2,0.6,1
Rodney Monroe,38,8.2,3.4,36.8,0.2,22.2,0.5,82.6,0.9,0.7,0.3,0.1,0.6,0
John Turner,42,8.2,2.8,43.9,0,0,0.7,52.5,1.9,0.3,0.1,0.1,0.8,0
Mark Randall,54,8.2,3.2,45.6,0.1,18.8,0.6,74.4,1.3,0.6,0.2,0.1,0.5,0
Sean Green,35,7.3,4,39.2,0.1,20,0.4,53.6,1.2,0.6,0.4,0.2,0.8,0
Kevin Brooks,37,7.3,2.8,44.3,0.1,18.2,0.5,81,1.1,0.3,0.2,0.1,0.5,0
Doug Lee,46,6.7,2.6,43.1,0.2,27,0.2,52.6,0.8,0.5,0.2,0,0.3,0
Corey Crowder,51,6.4,2.2,38.4,0.3,43.3,0.3,83.3,0.8,0.3,0.1,0,0.3,0
Rich King,40,5.3,2.2,38,0,0,0.9,75.6,1.2,0.3,0.1,0.1,0.5,0
Stephen Thompson,19,4.8,1.6,37.8,0,0,0.2,37.5,1,0.4,0.3,0.2,0.3,0
Charles Thomas,36,4.3,1.3,35.3,0.1,11.8,0.3,66.7,0.6,0.6,0.1,0,0.5,0
Lionel Simmons,79,37.7,18,42.2,0,27.3,4.1,73.6,8.8,4,1.4,1.1,2.9,1
Gary Harris,55,13.1,3.4,30.4,0.4,20.4,0.6,74.5,1.2,0.5,0.7,0.1,0.7,0
Derrick Coleman,74,35.2,18.4,46.7,0.2,34.2,4.4,73.1,10.3,2.2,1,1.3,2.9,1
Travis Mays,64,33.5,14.3,40.6,1.1,36.5,4,77,2.8,4,1.3,0.2,2.5,0
Dennis Scott,82,28.5,15.7,42.5,1.5,37.4,1.9,75,2.9,1.6,0.8,0.3,1.6,1
Gary Payton*,82,27.4,7.2,45,0,7.7,0.8,71.1,3,6.4,2,0.2,2.2,1
Felton Spencer,81,25.9,7.1,51.2,0,0,2.2,72.2,7.9,0.3,0.6,1.5,0.9,1
Willie Burton,76,25.4,12,44.1,0.1,13.3,3,78.2,3.4,1.4,0.9,0.3,1.9,1
Dee Brown,82,23.7,8.7,46.4,0.1,20.6,1.7,87.3,2.2,4.2,1,0.2,1.7,0
Dee Brown,82,23.7,8.7,46.4,0.1,20.6,1.7,87.3,2.2,4.2,1,0.2,1.7,1
Dee Brown,49,9.2,1.9,32.7,0.1,21.4,0.5,64.9,0.8,1.7,0.5,0.1,0.6,0
Dee Brown,49,9.2,1.9,32.7,0.1,21.4,0.5,64.9,0.8,1.7,0.5,0.1,0.6,1
Kendall Gill,82,23.7,11,45,0,14.3,1.9,83.5,3.2,3.7,1.3,0.5,2,1
Duane Causwell,76,22.6,6.9,50.8,0,0,1.4,63.6,5.1,0.9,0.6,1.9,1.3,1
Mahmoud Abdul-Rauf,67,22.5,14.1,41.3,0.4,24,1.3,85.7,1.8,3.1,0.8,0.1,1.6,1
A.J. English,70,20.6,8.8,43.9,0,9.7,1.6,70.7,2.1,2.5,0.4,0.2,1.6,0
Danny Ferry,81,20.5,8.6,42.8,0.3,29.9,1.5,81.6,3.5,1.8,0.5,0.3,1.5,1
Mario Elie,33,19.5,7.2,49.7,0.1,40,2.3,84.3,3.3,1.4,0.6,0.3,0.9,1
Anthony Cook,58,19.3,5.3,41.7,0,0,1.2,55,5.6,0.4,0.6,1.2,0.9,0
Gerald Paddio,70,16.9,7.2,41.9,0.1,25,1.1,79.6,1.7,1.3,0.3,0.1,1,0
Bimbo Coles,82,16.5,4.9,41.2,0.1,17.6,0.9,74.7,1.9,2.8,0.8,0.1,1.2,1
Bo Kimble,62,16.2,6.9,38,0.3,29.2,1.5,77.3,1.9,1.2,0.5,0.1,1.2,0
Alec Kessler,78,16.1,6.2,42.5,0,0,1.1,67.2,4.3,0.4,0.2,0.3,1.4,0
Loy Vaught,73,16.1,5.5,48.7,0,0,0.7,66.2,4.8,0.5,0.3,0.3,0.7,1
Tyrone Hill,74,16.1,5.3,49.2,0,0,1.3,63.2,5.2,0.3,0.5,0.4,1,1
Marcus Liberty,76,15.4,6.7,42.1,0.2,29.8,0.8,63,2.9,0.8,0.6,0.3,0.9,0
Terry Mills,55,14.9,5.7,46.5,0,0,0.9,71.2,4.2,0.6,0.6,0.5,0.8,1
Jamal Robinson,47,14.3,5.6,44.6,0,18.2,1,58.8,1.5,2.8,0.7,0.2,1.6,0
Henry James,37,13.6,8.1,44.1,0.6,40,1.4,72.2,2.1,0.9,0.4,0.1,1,1
Jerrod Mustaf,62,13.3,4.3,46.5,0,0,0.9,64.4,2.7,0.6,0.2,0.2,1,0
Kevin Pritchard,62,12.5,3.9,38.4,0.1,16.1,1,80.5,1,1.3,0.5,0.1,0.9,0
Gerald Glass,51,11.9,6.9,43.8,0,11.8,1,68.4,2,0.8,0.6,0.2,0.8,0
Larry Robinson,36,11.8,3.9,41.3,0,0,0.4,55.6,1.4,1,0.4,0,0.8,1
Jud Buechler,74,11.6,3.1,41.6,0,25,0.6,65.2,1.9,0.7,0.5,0.2,0.3,1
Cedric Ceballos,63,11.6,8.2,48.7,0,16.7,1.7,66.3,2.4,0.6,0.3,0.1,1.1,1
Kyle Anderson,33,10.8,2.2,34.8,0.1,27.3,0.3,64.3,2.2,0.8,0.5,0.2,0.3,0
Greg Foster,54,11.2,4.4,46,0,0,0.8,68.9,2.8,0.7,0.2,0.4,0.8,1
Brian Oliver,73,11,3.8,40.8,0.1,27.8,0.7,73.2,1.1,1.2,0.5,0.1,0.7,0
Howard Wright,15,10.9,3.6,40.4,0,0,1.1,66.7,3,0.2,0.3,0.3,0.7,0
Tony Smith,64,10.9,3.7,44.1,0,0,0.6,70.2,1.1,2.1,0.4,0.2,1.1,1
Tate George,56,10.6,3.4,41.5,0,0,0.6,80,0.8,1.9,0.5,0.1,0.8,0
Rick Calloway,64,10.6,3.2,39.1,0,0,0.9,69.6,1.2,1,0.3,0.1,0.8,0
Steve Henson,68,10.1,3.1,41.8,0.3,33.3,0.6,90.5,0.8,1.9,0.5,0,0.6,1
Andy Toolson,47,10,2.9,40.3,0.3,37.5,0.5,75.8,1.4,0.7,0.3,0,0.5,0
Jayson Williams,52,9.8,3.5,44.7,0,50,0.7,66.1,2.1,0.3,0.2,0.1,0.8,1
Kennard Winchester,64,9.5,3.7,40,0.1,40,0.5,77.8,1,0.4,0.3,0.2,0.5,0
Johnny O'Bryant,34,10.8,2.9,36.7,0,0,0.4,44.4,1.9,0.5,0.1,0.1,0.7,0
Dwayne Schintzius,42,9.5,3.8,43.9,0,0,0.5,55,2.9,0.4,0.1,0.7,0.8,1
Sean Higgins,50,9.3,4.5,45.8,0.1,15.8,0.6,84.8,1.3,0.7,0.2,0,1,1
Elden Campbell,52,7.3,2.8,45.5,0,0,0.6,65.3,1.8,0.2,0.2,0.7,0.3,1
Kenny Williams,75,7,2.9,52,0,0,0.5,68,1.7,0.4,0.1,0.4,0.6,0
Keith Askins,39,6.8,2.2,42,0.2,24,0.3,48,1.7,0.5,0.4,0.3,0.3,1
Scott Williams,51,6.6,2.5,51,0,50,0.4,71.4,1.9,0.3,0.2,0.3,0.5,1
Richard Coffey,52,6.2,1.3,37.3,0,0,0.2,54.5,1.5,0.1,0.1,0.1,0.1,0
Steve Scheffler,39,5.8,1.5,51.3,0,0,0.5,90.5,1.2,0.2,0.1,0.1,0.1,1
David Robinson*,82,36.6,24.3,53.1,0,0,7.5,73.2,12,2,1.7,3.9,3.1,1
James Young,31,10.7,3.4,35.3,0.5,25.8,0.5,55.2,1.4,0.4,0.3,0.1,0.2,0
Tim Hardaway,79,33.7,14.7,47.1,0.3,27.4,2.7,76.4,3.9,8.7,2.1,0.1,3.3,0
Tim Hardaway,79,33.7,14.7,47.1,0.3,27.4,2.7,76.4,3.9,8.7,2.1,0.1,3.3,1
J.R. Reid,82,33.6,11.1,44,0,0,2.3,66.4,8.4,1.2,1.1,0.7,2.1,1
Pooh Richardson,82,31.5,11.4,46.1,0.3,27.7,0.8,58.9,2.6,6.8,1.6,0.3,1.7,1
Sherman Douglas,81,30.5,14.3,49.4,0.1,16.1,2.8,68.7,2.5,7.6,1.8,0.1,3,1
Sam Mitchell,80,30.2,12.7,44.6,0,0,3.4,76.8,5.8,1.1,0.8,0.7,1.2,1
Glen Rice,77,30,13.6,43.9,0.2,24.6,1.2,73.4,4.6,1.8,0.9,0.3,1.5,1
Glen Rice,77,30,13.6,43.9,0.2,24.6,1.2,73.4,4.6,1.8,0.9,0.3,1.5,0
Mookie Blaylock,50,25.3,10.1,37.1,0.4,22.5,1.3,77.8,2.8,4.2,1.6,0.3,2.2,1
Sean Elliott,81,25.1,10,48.1,0,11.1,2.3,86.6,3.7,1.9,0.6,0.2,1.4,1
Blue Edwards,82,23,8.9,50.7,0.1,30,1.8,71.9,3.1,1.8,0.9,0.4,1.9,1
Cory Jefferson,50,10.6,3.7,44.9,0,13.3,0.6,57.4,2.9,0.3,0.2,0.4,0.4,0
Nick Anderson,81,22,11.5,49.4,0,5.9,2.3,70.5,3.9,1.5,0.8,0.4,1.7,1
Stacey King,82,21.7,8.9,50.4,0,0,2.4,72.7,4.7,1.1,0.5,0.7,1.4,1
Dana Barros,81,20.1,9.7,40.5,1.2,39.9,1.1,80.9,1.6,2.5,0.7,0,1.5,1
Jeff Martin,69,19.6,6.3,41.1,0,13.3,1.3,70.5,2.3,0.6,0.6,0.2,0.7,0
Clifford Robinson,82,19.1,9.1,39.7,0.1,27.3,1.7,55,3.8,0.9,0.7,0.7,1.6,1
Winston Bennett,55,18,6.1,47.9,0,0,1.2,66.7,3.4,1,0.4,0.2,1.1,0
Chucky Brown,75,17.9,7.3,47,0,0,1.7,76.2,3.1,0.7,0.4,0.3,0.9,1
Michael Ansley,72,17,8.7,49.7,0,0,2.3,72.2,5,0.6,0.3,0.2,0.7,0
Todd Lichti,79,16.8,8,48.6,0,0,1.6,74.7,1.9,1.5,0.7,0.2,1.2,1
Noah Vonleh,25,10.4,3.3,39.5,0.2,38.5,0.7,69.2,3.4,0.2,0.2,0.4,0.4,0
B.J. Armstrong,81,15.9,5.6,48.5,0,50,0.9,88.5,1.3,2.5,0.6,0.1,1,1
Terry Davis,63,14,4.7,46.6,0,0,0.9,62.1,3.6,0.4,0.4,0.4,1.1,1
Shawn Kemp,81,13.8,6.5,47.9,0,16.7,1.4,73.6,4.3,0.3,0.6,0.9,1.3,1
Tom Hammonds,61,13.2,5.3,43.7,0,0,1,64.3,2.8,0.8,0.2,0.2,0.8,1
Scott Haffner,43,13,4.6,40.6,0.1,14.3,0.4,68,1.2,1.9,0.3,0.1,0.8,0
Randy White,55,12.9,4.3,36.9,0,7.1,0.9,56.2,3.1,0.4,0.4,0.1,0.8,1
Kenny Battle,59,12.4,4.1,54.7,0,25,0.9,67.1,2.1,0.6,0.6,0.2,0.5,0
Donald Royal,66,11.3,5.9,45.9,0,0,2.3,77.7,2.1,0.7,0.5,0.1,1.2,1
Michael Carter-Williams,70,34.5,16.7,40.5,0.8,26.4,3.7,70.3,6.2,6.3,1.9,0.6,3.5,0
Delaney Rudd,77,11,3.5,42.9,0.2,28.6,0.5,66,0.7,2.3,0.3,0,1.1,0
John Morton,37,10.9,3.9,29.8,0.2,23.3,1.2,69.4,0.9,1.8,0.5,0.1,1.4,0
Greg Grant,67,10.1,3.1,38.4,0,18.8,0.6,66.1,0.9,2.5,0.5,0,1.1,1
Doug Roth,42,9.8,1.9,43,0,0,0.2,50,2.9,0.5,0.2,0.3,0.4,0
Byron Irvin,50,9.8,5.2,47.3,0.1,35.7,1.2,67,1.5,0.9,0.6,0,0.8,0
Michael Smith,65,9.5,5,47.6,0,7.1,0.8,82.8,1.5,1.2,0.1,0,0.8,0
Michael Smith,65,9.5,5,47.6,0,7.1,0.8,82.8,1.5,1.2,0.1,0,0.8,1
Michael Smith,82,21.2,6.9,54.2,0,0,1.5,48.5,5.9,0.8,0.7,0.6,1.3,0
Michael Smith,82,21.2,6.9,54.2,0,0,1.5,48.5,5.9,0.8,0.7,0.6,1.3,1
George McCloud,44,9.4,2.7,31.3,0.3,32.5,0.3,78.9,1,1,0.4,0.1,0.8,1
Henry Turner,36,8.8,4.3,47.5,0,0,1.1,61.5,1.4,0.6,0.5,0.2,0.7,0
Charles Smith,60,8.7,2.9,44.4,0,0,0.9,69.7,1.2,1.7,0.6,0.1,0.6,1
Charles Smith,60,8.7,2.9,44.4,0,0,0.9,69.7,1.2,1.7,0.6,0.1,0.6,1
Charles Smith,60,8.7,2.9,44.4,0,0,0.9,69.7,1.2,1.7,0.6,0.1,0.6,0
Charles Smith,71,30.4,16.3,49.5,0,0,4,72.5,6.5,1.5,1,1.3,2.1,1
Charles Smith,71,30.4,16.3,49.5,0,0,4,72.5,6.5,1.5,1,1.3,2.1,1
Charles Smith,71,30.4,16.3,49.5,0,0,4,72.5,6.5,1.5,1,1.3,2.1,0
Charles Smith,34,8.6,3.5,39.2,0.4,31.9,0.2,54.5,0.8,0.6,0.3,0.2,0.8,1
Charles Smith,34,8.6,3.5,39.2,0.4,31.9,0.2,54.5,0.8,0.6,0.3,0.2,0.8,1
Charles Smith,34,8.6,3.5,39.2,0.4,31.9,0.2,54.5,0.8,0.6,0.3,0.2,0.8,0
Ed Horton,45,8.3,4.5,49.4,0,0,0.9,60.9,2.4,0.4,0.2,0.1,0.9,0
Trey Burke,70,32.3,12.8,38,1.6,33,1.5,90.3,3,5.7,0.6,0.1,1.9,0
Frank Kornet,57,7.7,2,36.8,0.1,25,0.4,61.5,1.2,0.4,0.3,0.1,0.4,0
Doug West,52,7.3,2.6,39.3,0.1,27.3,0.5,81.3,1.3,0.3,0.2,0.1,0.6,1
Adrian Caldwell,51,6.5,1.9,55.3,0,0,0.3,46.4,2.1,0.1,0.2,0.3,0.6,1
Kenny Payne,35,6.2,3.3,43.5,0.1,40,0.5,88.9,0.7,0.3,0.2,0.2,0.6,0
Eric Johnson,48,5.7,1.1,23.8,0,16.7,0.3,76.5,0.6,1.3,0.3,0,0.5,0
Mike Williams,21,4.9,0.7,33.3,0,0,0.1,50,1.1,0.1,0.1,0.3,0.1,0
Mike Morrison,36,4.3,2,33.8,0.1,28.6,0.7,80,0.6,0.3,0.1,0,0.6,0
Nate Johnston,21,4.1,2.2,37.5,0,25,0.4,69.2,1.1,0,0.1,0.4,0.3,0
Mitch Richmond*,79,34.4,22,46.8,0.4,36.7,5.2,81,5.9,4.2,1,0.2,3.4,1
Willie Anderson,81,33.8,18.6,49.8,0,19,2.8,77.5,5.1,4.6,1.9,0.8,3.2,1
Victor Oladipo,80,31.1,13.8,41.9,0.9,32.7,3.1,78,4.1,4.1,1.6,0.5,3.2,0
Hersey Hawkins,79,32.6,15.1,45.5,0.9,42.8,3.1,83.1,2.8,3,1.5,0.5,2,1
Kevin Edwards,79,29.7,13.8,42.5,0.1,27,1.8,74.6,3.3,4.4,1.8,0.3,3.1,1
Grant Long,82,29.7,11.9,48.6,0,0,3.7,74.9,6.7,1.8,1.5,0.6,2.5,1
Rex Chapman,75,29.6,16.9,41.4,0.8,31.4,2.1,79.5,2.5,2.3,0.9,0.3,1.5,1
Brian Shaw,82,28.1,8.6,43.3,0,0,1.3,82.6,4.6,5.8,0.9,0.3,2.3,1
Chris Morris,76,27.6,14.1,45.7,0.8,36.6,2.4,71.7,5.2,1.6,1.3,0.8,2.5,1
Gary Grant,71,27.1,11.9,43.5,0.1,22.7,1.7,73.5,3.4,7.1,2,0.1,3.6,1
Vernon Maxwell,79,26.1,11.7,43.2,0.4,24.8,2.3,74.5,2.6,3.8,1.1,0.1,2.3,1
Ben McLemore,82,26.7,8.8,37.6,1.2,32,1.4,80.4,2.9,1,0.6,0.2,1.2,0
Dan Majerle,54,25.1,8.6,41.9,0.5,32.9,1.4,61.4,3.9,2.4,1.2,0.3,0.9,1
Sylvester Gray,55,22.2,8,42,0,25,1.9,67.3,5.2,2.1,0.7,0.5,1.9,0
Ricky Berry,64,22,11,45,1,40.6,2,78.9,3.1,1.3,0.6,0.3,1.3,0
Tom Garrick,71,21.1,6.4,49,0,0,1.4,80.3,2.2,3.4,1.1,0.1,1.6,0
Michael Anderson,36,20.3,5.7,41.7,0,14.3,1.6,69.5,2.5,4.3,1.2,0.1,2.3,0
Michael Anderson,65,18.5,7.4,50.1,0,0,1.5,57.1,4.5,1,1,0.3,1.2,0
Vinny Del Negro,80,19.5,7.1,47.5,0.1,30,1.1,85,2.1,2.6,0.8,0.2,1,1
Kelvin Upshaw,32,19.3,6.8,46.7,0.1,20,0.6,69.2,1.5,3.7,0.8,0.1,1.7,0
Derrick Chievous,81,19,9.3,43.7,0.1,20.8,2.4,78.3,3.2,1,0.6,0.1,1.7,0
Ledell Eackles,80,18.2,11.5,43.4,0.1,22.5,3.4,78.6,2.3,1.5,0.5,0.1,1.6,1
Harvey Grant,71,16.8,5.6,46.4,0,0,0.5,59.6,2.3,1.1,0.5,0.4,0.4,1
Rod Strickland,81,16.8,8.9,46.7,0.2,32.2,2.1,74.5,2,3.9,1.2,0,1.8,1
Scott Brooks,82,16.7,5.2,42,0.7,35.9,0.7,88.4,1.1,3.7,0.8,0,0.8,1
Todd Mitchell,24,14.7,5.1,44.3,0,0,1.5,57.8,2.1,0.9,0.7,0.1,1.4,0
John Shasky,65,14.5,5.5,48.8,0,0,1.8,68.9,3.6,0.3,0.2,0.2,0.7,0
Mark Bryant,56,14.3,5,48.6,0,0,0.7,58,3.2,0.6,0.4,0.1,0.7,1
Mark Bryant,36,7,1.6,43.1,0,0,0.3,69.2,1.9,0.2,0.1,0.1,0.3,1
Shelton Jones,51,13.4,4.8,44.5,0,0,1.1,72.5,2.2,0.8,0.4,0.3,0.9,0
Eric Leckner,75,10.4,4.3,54.5,0,0,1.1,69.9,2.7,0.2,0.1,0.3,0.9,1
Jerome Lane,54,10.2,4.8,42.6,0,0,0.8,38.4,3.7,1.1,0.4,0.1,0.9,1
Tim Perry,62,9.9,4.1,53.7,0,25,0.6,61.5,2.1,0.3,0.3,0.5,0.6,1
Jim Les,82,9.5,1.7,30.1,0,7.1,0.7,78.1,1.1,2.6,0.3,0.1,1.1,1
Craig Neal,53,9.4,2.2,36.6,0.2,29.4,0.3,60.9,0.5,2.2,0.5,0.1,1,0
David Rivers,47,9.4,2.9,40.2,0,16.7,0.7,83.3,0.9,2.3,0.5,0.2,1.3,0
John Starks,36,8.8,4.1,40.8,0.3,38.5,0.9,65.4,1.1,0.8,0.6,0.1,1.1,1
Andrew Lang,62,8.5,2.6,51.3,0,0,0.6,65,2.4,0.1,0.3,0.8,0.5,1
Bill Jones,37,8.3,3.5,49,0,0,0.8,67.4,1.3,0.5,0.5,0.2,0.5,0
Charles Shackleford,60,8.1,3.1,49.4,0,0,0.4,50,2.6,0.4,0.3,0.3,0.5,1
Morlon Wiley,51,8,2.2,40.4,0.1,25,0.3,81.3,0.9,1.5,0.5,0.1,0.7,1
Randolph Keys,42,7.9,4,43,0,10,0.5,69,1.3,0.5,0.3,0.1,0.5,1
